PC1,PC2,macro_cluster
-1.3332632716275359,-1.4251727156363083,2
-0.39905553579986697,2.998337783961843,1
-0.4234095139228305,-1.1558466651508603,0
-0.12625500834053885,-1.4302327747332806,0
-0.5388876223918758,0.7097779375119703,1
0.7719255436210274,1.8075468702933108,1
3.4093788640153337,-2.673867207445707,2
0.6802555474130226,-1.7589339140846223,0
-0.8891009971006638,-0.22980473181302682,2
-1.052463310814488,-0.9675057818712137,0
-0.0862182387046818,2.155956043300988,1
-0.5960673409666638,-1.2506332106810176,0
-0.43507188740901903,0.615037768212264,1
-0.42078725868570366,-0.9648743973818936,2
-0.2860350043394456,-1.3215472896806606,0
-1.196740982819804,-1.4068098043318227,2
0.3608943516996231,2.4311379431706595,1
-0.5558614848821373,-0.30226484429536116,2
