assigned_memory,req_memory,avg_memory,max_memory,page_cache_memory,runtime_seconds,macro_cluster
0.0002317428588867,0.0002088546752929,8.58306884765625e-06,8.58306884765625e-06,0.0,0.002,2
0.078125,0.078125,0.0738525390625,0.0750732421875,0.0005884170532226,0.3,3
0.006500244140625,0.0065078735351562,9.5367431640625e-07,9.5367431640625e-07,0.0,0.001,2
0.020416259765625,0.021514892578125,0.004669189453125,0.0047760009765625,9.632110595703124e-05,0.199,0
0.0036125183105468,0.0036125183105468,0.0006523132324218,0.0006532669067382,9.5367431640625e-06,0.013,2
0.0032539367675781,0.0032539367675781,0.0013999938964843,0.0013999938964843,0.0004243850708007,0.009,2
0.0,0.0013027191162109,0.0135955810546875,0.0142669677734375,0.0005931854248046,0.3,0
0.0,0.0001649856567382,0.0001430511474609,0.0001440048217773,2.09808349609375e-05,0.3,0
0.0104217529296875,0.0104217529296875,6.580352783203125e-05,6.961822509765625e-05,2.86102294921875e-06,0.003,2
0.0001955032348632,0.0001955032348632,9.250640869140624e-05,0.0001029968261718,9.5367431640625e-07,0.3,1
0.0052108764648437,0.0052108764648437,0.0011177062988281,0.0011730194091796,0.0005998611450195,0.3,0
0.0065078735351562,0.0065078735351562,0.0017414093017578,0.0023078918457031,3.4332275390625e-05,0.016,2
0.0,0.0013027191162109,0.0061569213867187,0.018829345703125,0.0008535385131835,0.3,0
0.006683349609375,0.0036125183105468,0.0006771087646484,0.0006790161132812,9.5367431640625e-07,0.3,0
0.0026054382324218,0.0026054382324218,8.7738037109375e-05,8.7738037109375e-05,1.9073486328125e-06,0.001,2
0.0002269744873046,0.000218391418457,0.0001735687255859,0.0001859664916992,0.0,0.3,1
0.0057296752929687,0.0033416748046875,0.0042343139648437,0.0057296752929687,0.0002670288085937,0.3,1
0.00262451171875,0.00262451171875,0.0021553039550781,0.0022048950195312,7.43865966796875e-05,0.3,1
0.0,0.0013027191162109,0.01953125,0.023651123046875,0.0014381408691406,0.243,0
0.009521484375,0.005706787109375,0.0023040771484375,0.0029640197753906,0.0001821517944335,0.3,0
0.0104217529296875,0.0104217529296875,6.580352783203125e-05,6.961822509765625e-05,2.86102294921875e-06,0.003,2
0.0,0.0013027191162109,0.01409912109375,0.017608642578125,0.0012741088867187,0.3,0
0.004364013671875,0.004364013671875,0.00225830078125,0.0023002624511718,0.0002937316894531,0.3,1
0.0,0.0013027191162109,0.0150909423828125,0.0174560546875,0.0001087188720703,0.3,0
0.001626968383789,0.001626968383789,0.001068115234375,0.0010719299316406,0.0004749298095703,0.3,1
0.005035400390625,0.004119873046875,0.0035781860351562,0.0036888122558593,0.000309944152832,0.3,1
